TeacherName,Major,Degrees,Fields,InterestedFields,NumberOfResearches,NumberOfAwards,Subjects
Nguyễn Thị Oanh,Hệ thống Thông tin,"Tiến sỹ (Khoa học Máy tính - Đại học Nancy 2 - Pháp - 2010), Thạc sỹ (Viện Tin học Pháp ngữ - 2004), Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2001)","Thị giác máy tính, Truy vấn dựa trên nội dung","Phát hiện và nhận dạng đối tương, Nhận dạng hoạt động, Truy vấn thông tin đa phương tiện",18,4,IT3090: Cơ sở dữ liệu IT3290/IT3290E: Thực hành cơ sở dữ liệu IT4851: Hệ cơ sở dữ liệu đa phương tiện IT4090Q: Xử lý ảnh IT6870 / IT5409: Thị giác máy tính
Nguyễn Thị Thu Hương,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2006), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2003)","Xử lý ngôn ngư tự nhiên, Lý thuyết tính toán, Chương trình dịch","Biểu diễn cú pháp của ngôn ngữ tự nhiên, Dịch máy, Trích chọn thông tin, Ngôn ngữ ẩm thực, Hệ gợi ý",34,,IT4875: Xử lý ngôn ngữ tự nhiên; IT1016: Tin học đâị cương (tiếng Anh); IT4876: Nhập môn Chương trình dịch; IT4079: Ngôn ngữ và Phương pháp dịch; IT3322: Xây dựng chương trình dịch; IT4182: Thực hành Xây dựng chương trình dịch; IT6020: Nguyên lý các ngôn ngữ lập trinh ;IT7151: Mô hình hình thức của các hệ thống truyền thông
Nguyễn Thị Thu Trang,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2015), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2007), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2005)","Tổng hợp giọng nói, Xử lý ngôn ngữ tự nhiên","Tổng Hợp Diễn Văn Biểu Cảm, Thích ứng loa, Tóm tắt văn bản, Hiểu ngôn ngữ tự nhiên, Quản lý hộp thoại trong HCI",18,2,"IT3102, IT3102E: Lý thuyết ngôn ngữ hướng đối tượng; IT4490: Thiết kế và xây dựng phần mềm; IT4945: Phát triển phần mềm theo chuẩn ITSS"
Nguyễn Tiến Thành,Khoa học Máy tính,"Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2011), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2008)","Công nghệ phần mềm, Tính toán hiệu năng cao, Mạng điều khiển tự động","Mô hình hoá phần mềm, Kiểm chứng mô hình, Học máy, Giao diện truyền thông điệp, Lập trình đa tuyến, Mạng định nghĩa bởi phần mềm, Ảo hoá chức năng của mạng",13,,IT3100: Lập trình hướng đối tượng cho cử nhân công nghệ; IT3600: Lập trình hướng đối tượng cho cử nhân; IT4789: Lập trình .Net; IT3040: Kĩ thuật lập trình
Ngô Văn Linh,Khoa học Máy tính,"Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2013), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011)","Học máy, Khai phá dữ liệu, Mô hình đồ thị xác suất, Hệ gợi ý","Mô hình chủ đề, Phân loại và phân cụm, Suy diễn biến phân, Xấp xỉ ngẫu nhiên, Học dòng liên tục, Hệ gợi ý",11,1,IT4040: Trí tuệ nhân tạo; IT4866: Học máy; IT3200: Ngôn ngữ lập trình C; IT3240: C Nâng cao; IT1110: Tin đại cương
Phạm Quang Dũng,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2006), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2003)","Tối ưu hóa tổ hợp, Thuật toán và đồ thị","Các vấn đề tối ưu hóa trong lĩnh vực kho vận, Bài toán đóng gói và lập lịch, Các kỹ thuật quy hoạch ràng buộc, quy hoạch hỗn hợp, tìm kiếm cục bộ",15,1,IT3010: Cấu trúc dữ liệu và giải thuật; IT3020: Toán rời rạc; IT4759: Tìm kiếm cục bộ dựa trên ràng buộc; IT3680: Thuật toán ứng dụng
Phạm Văn Hải,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2011), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2006), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2003)","Ứng dụng trí tuệ nhân tạo, Học máy, Tính toán mềm, Phân tích dữ liệu lớn, Ứng dụng hệ mờ, Hệ thống thông minh lai, Tích hợp hệ thống","Ứng dụng trí tuệ nhân tạo, Học máy, Tính toán mềm, Phân tích dữ liệu lớn, Ứng dụng hệ mờ, Hệ thống thông minh lai, Tích hợp hệ thống",25,8,IT3160: Trí tuệ nhân tạo; IT3120: Phân tích thiết kế hệ thống; IT4341: Hệ trợ giúp quyết định / học sâu ứng dụng Master: Hệ thống dựa tri thức Master/ Bsc: Engineering: Tích hợp hệ thống
Thân Quang Khoát,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2013), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2009), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2004)","Trí tuệ nhân tạo, Khoa học dữ liệu, Khoa học máy tính","Học máy, Học biểu diễn, Học liên tục, Hệ gợi ý, Quảng cáo trực tuyến, Dữ liệu lớn",17,4,Trí tuệ nhân tạo; Học máy; Nhập môn Khoa học dữ liệu; Học máy cho dữ liệu lớn
Trần Việt Trung,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2013), Thạc sỹ (Công nghệ thông tin - trường Đại học Bách khoa Hà Nội - 2009), Kỹ sư (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 2008)","Dữ liệu lớn, Hiểu ngôn ngữ tự nhiên, Học máy ứng dụng","Quản lý dữ liệu phân tán, Phân tích dữ liệu lớn, Bất động sản, Khoa học sức khỏe, Thị trường lao động, Thị trường tài chính",14,1,IT4859: Thiết kế và quản trị cơ sở dữ liệu; IT3292E: Database; IT3090: Cơ sở dữ liệu; IT5429: Phân tích đồ thị với dữ liệu lớn; IT4930: Nhập môn Khoa học dữ liệu; IT4931: Lưu trữ và Xử lý dữ liệu lớn
Trần Vĩnh Đức,Khoa học Máy tính,"Tiến sĩ (Khoa học máy tính - Trường Đại học Nice – Sophia Antipolis - CH Pháp - 2011), Thạc sĩ (Công nghệ thông tin - Viện tin học Pháp ngữ - 2006), Cử nhân (Tin học, Đại học Thăng Long - 2002)","Mật mã ứng dụng, Độ phức tạp tính toán","Mật mã ứng dụng, Độ phức tạp tính toán",19,,Mật mã ứng dụng; Nhập môn lý thuyết tính toán; Toán rời rạc
Trần Đình Khang,Khoa học Máy tính,"Tiến sỹ (Khoa học Máy tính - trường Đại học Bách khoa Hà Nội - 1999), Kỹ sư (Toán học - Đại học Kỹ thuật Dresden - 1986)","Hệ thống hỗ trợ ra quyết định và thông minh, Logic mờ và suy luận gần đúng, Trí tuệ nhân tạo","Các bài toán ra quyết định, Ứng dụng trên mạng xã hội khuyến nghị, Xử lý thông tin mờ, Bộ mờ đại số loại 2, Hệ thống thông minh",36,,IT4844 Xử lý thông tin mờ; IT4341 Hệ trợ giúp quyết định; IT6340 Các hệ thống thông minh; IT7371 Các tiếp cận logic trong biểu diễn và xử lý thông tin
Trịnh Thành Trung,Công nghệ Phần mềm,"Tiến sỹ (Viện Công nghệ Shibaura - Nhật Bản - 2021), Thạc sỹ (Đại học South Wales - Anh Quốc - 2011), Kỹ sư (Đại học kỹ thuật Lê Quý Đôn - 2009)","Đồ họa máy tính và phát triển trò chơi, Metaverse và các hệ thống thực tế ảo VR AR XR, Trí tuệ nhân tạo trong game và các hệ tác tử thông minh, Thiết kế giao diện và trải nghiệm người dùng","Đồ họa máy tính, Metaverse và Thực tế ảo, Phát triển trò chơi, Game AI, Tác tử thông minh rule-based reinforcement learning imitation learning, Mô hình hành vi con người",13,2,IT4470: Đồ họa máy tính và hiện thực ảo; IT3100: Lập trình hướng đối tượng; IT3040: Kỹ thuật lập trình; IT4080: Nhập môn Công nghệ phần mềm
Trịnh Tuấn Đạt,Công nghệ Phần mềm,"Tiến sỹ (Khoa học Máy tính - Trường Đại học Kỹ thuật Vienna - Áo - 2016), Thạc sỹ (Trường Đại học Bách khoa Hà Nội - 2011), Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2009)","Web ngữ nghĩa, An toàn an ninh, Thị giác máy tính","Dữ liệu liên kết mở, Tích hợp nhanh dữ liệu, An toàn an ninh web, Thực tế ảo, Thực tế ảo tăng cường, Thực tế ảo hỗn hợp",13,4,IT3100: Lập trình hướng đối tượng; IT4876: Nhập môn chương trình dịch; IT4552: Lập trình Web; IT3104: Kỹ thuật lập trình; IT6819: Kiến trúc phần mềm – các chủ đề nâng cao; IT4490: Thiết kế và xây dựng phần mềm
Vũ Thị Hương Giang,Hệ thống Thông tin,Kỹ sư (Trường Đại học Bách khoa Hà Nội - 2008),"Công nghệ Phần mềm, An toàn Thông tin, Tương tác người máy","Các hệ thống hướng dịch vụ và ứng dụng: chuyển đổi số e-learning IoT, Các khía cạnh ngoài chức năng của phần mềm: đảm bảo an toàn rủi ro dung lỗi dễ truy cập tương tác dùng được, Các phương pháp phát triển phần mềm tiên tiến và ứng dụng, Phân tích dữ liệu lớn",15,,IT4440: Tương tác người máy; IT6460: Quản trị dự án CNTT và quản lý thay đổi; IT4442: Giao diện người dùng; IT4492: Lập trình cấu trúc; IT4883: Phát triển phần mềm phân tán; IT3040: Kỹ thuật lập trình
